Xsing M_ini		log(t)_in		P_in		M_in		log(Teff_in)		log(L_in)		Yc_in		Ve_in		N/C_out		N/O_out		log(dt)_out		P_out		log(Teff_out)		log(L_out)		Yc_out		Ve_out
omega_ini = 0.
1		1.7		9.125		0.121		1.70		3.875		1.370		0.994		0.0		0.247		0.132		7.135		0.162		3.833		1.362		0.994		0.0
1		2.0		8.922		0.192		2.00		3.864		1.634		0.994		0.0		0.247		0.132		6.385		0.244		3.825		1.609		0.994		0.0
1		2.5		8.658		0.332		2.50		3.856		1.974		0.994		0.0		0.247		0.132		5.774		0.438		3.808		1.929		0.994		0.0
1		3.0		8.454		0.565		3.00		3.833		2.230		0.994		0.0		0.247		0.132		5.172		0.694		3.797		2.192		0.994		0.0
1		4.0		8.150		1.156		4.00		3.819		2.650		0.994		0.0		0.247		0.132		4.616		1.488		3.777		2.605		0.994		0.0
2		4.0		8.230		3.455		3.97		3.748		2.923		0.208		0.0		1.24		0.411		6.118		3.293		3.750		2.903		0.097		0.0
1		5.0		7.929		2.109		5.00		3.803		2.973		0.994		0.0		0.247		0.132		4.242		2.889		3.753		2.928		0.994		0.0
1		7.0		7.624		5.282		7.00		3.784		3.483		0.994		0.0		0.247		0.132		3.699		7.860		3.725		3.436		0.994		0.0
2		7.0		7.667		18.34		6.92		3.696		3.724		0.340		0.0		1.18		0.394		4.811		9.540		3.773		3.738		0.323		0.0
3		7.0		7.680		10.30		6.90		3.770		3.761		0.085		0.0		1.18		0.394		5.030		17.08		3.707		3.742		0.063		0.0
1		9.0		7.421		10.17		8.99		3.772		3.855		0.994		0.0		0.247		0.132		3.374		17.11		3.697		3.790		0.993		0.0
1		12.0		7.191		26.33		11.95		3.755		4.353		0.987		0.0		0.247		0.132		3.444		57.30		3.659		4.305		0.985		0.0
1		15.0		7.088		74.50		14.64		3.732		4.812		0.222		0.0		0.247		0.132		4.243		202.2		3.608		4.752		0.206		0.0
omega_ini = 0.5
1		1.7		9.219		0.146		1.70		3.867		1.458		0.994		97.9		0.351		0.172		7.294		0.205		3.824		1.466		0.994		79.9
1		2.0		9.017		0.251		2.00		3.854		1.750		0.994		75.5		0.384		0.185		6.666		0.337		3.811		1.733		0.994		62.3
1		2.5		8.746		0.455		2.50		3.843		2.099		0.994		53.6		0.411		0.196		5.743		0.608		3.798		2.066		0.994		44.4
1		3.0		8.537		0.763		3.00		3.826		2.366		0.994		41.3		0.463		0.216		5.230		0.991		3.785		2.331		0.994		34.1
1		4.0		8.229		1.586		4.00		3.809		2.778		0.994		29.0		0.589		0.261		4.674		2.205		3.758		2.732		0.994		22.3
2		4.0		8.289		4.626		3.96		3.739		3.033		0.215		19.7		3.31		0.796		6.003		4.640		3.740		3.038		0.131		17.9
3		4.0		8.293		4.859		3.96		3.742		3.070		0.242		16.1		3.31		0.796		5.817		4.721		3.742		3.055		0.168		16.1
1		5.0		8.005		2.853		5.00		3.795		3.102		0.994		21.9		0.773		0.319		4.238		4.048		3.743		3.059		0.994		16.5
2		5.0		8.053		8.767		4.95		3.720		3.349		0.238		14.0		3.64		0.833		6.286		9.962		3.716		3.394		0.128		9.8
3		5.0		8.062		11.07		4.94		3.714		3.439		0.217		9.6		3.64		0.833		5.821		10.52		3.716		3.419		0.105		8.6
1		7.0		7.696		7.140		7.00		3.775		3.606		0.994		13.0		1.17		0.423		3.683		10.97		3.715		3.560		0.994		9.2
2		7.0		7.723		24.64		6.93		3.679		3.797		0.514		18.3		4.49		0.908		4.520		11.70		3.765		3.816		0.507		38.3
3		7.0		7.744		14.38		6.89		3.766		3.912		0.026		22.2		4.49		0.908		4.605		28.28		3.686		3.889		0.018		11.6
1		9.0		7.495		13.95		8.99		3.766		3.990		0.992		10.3		1.65		0.521		3.495		25.84		3.683		3.926		0.991		6.1
